station_id,station_name,district,address,lat,lng,tot_quantity,sbi_quantity,bemp,act,data_time,yb2_quantity,eyb_quantity
500231047,YouBike2.0_鹿角溪公園,樹林區,鹿角溪公園(東南側),24.97151,121.39591,13,2,11,1,2026-04-28 12:26:02,0,2
500231048,YouBike2.0_東興街,樹林區,東興街12號(對面),24.97872,121.40999,15,8,7,1,2026-04-28 12:34:02,7,1
500231049,YouBike2.0_東大街,樹林區,東大街162號(對面),24.97563,121.40947,15,12,3,1,2026-04-28 11:59:02,12,0
500231050,YouBike2.0_東順街36巷口,樹林區,東順街23號(對面),24.97831,121.41149,11,9,2,1,2026-04-28 10:45:02,9,0
500231051,YouBike2.0_中華路379巷口,樹林區,中華路379巷2號(旁),24.97986,121.41239,14,6,8,1,2026-04-28 12:37:02,6,0
500231052,YouBike2.0_俊英街125巷口,樹林區,俊英街250號(對面),25.01080,121.42446,15,6,9,1,2026-04-28 14:14:04,3,3
500231053,YouBike2.0_中正路248巷口,樹林區,中正路246號(對面),25.00717,121.41774,10,6,4,1,2026-04-28 12:57:04,6,0
500231054,YouBike2.0_俊英大安路口,樹林區,俊英街/大安路(西北側),25.00379,121.42818,14,5,9,1,2026-04-28 14:25:18,0,5
500231055,YouBike2.0_柑園街二段363巷口,樹林區,柑園街二段357號對面(西側),24.94909,121.36809,12,9,3,1,2026-04-28 13:56:04,7,2
500231056,YouBike2.0_獇寮公園,樹林區,保安街二段327號東側,25.00694,121.41264,12,10,2,1,2026-04-28 12:25:04,9,1
500231057,YouBike2.0_三俊街65巷口,樹林區,三俊街63號(對面),25.01585,121.41359,15,4,11,1,2026-04-28 14:13:02,4,0
500231058,YouBike2.0_俊興俊安街口,樹林區,俊興街148號(旁),25.01187,121.41691,15,5,10,1,2026-04-28 12:30:04,5,0
500231059,YouBike2.0_樹林藝文綜合行政大樓停車場,樹林區,樹新路135號(對面),24.99636,121.42853,18,7,11,1,2026-04-28 14:17:03,7,0
500231060,YouBike2.0_保安立體停車場,樹林區,保安街一段7號(旁),24.99334,121.42652,12,10,2,1,2026-04-28 14:19:02,10,0
500231061,YouBike2.0_大雅佳園路口,樹林區,大雅路1號,24.94447,121.38067,14,4,9,1,2026-04-28 14:23:02,3,1
500231062,YouBike2.0_樹林區第三平面停車場,樹林區,光明街9號(對面),24.98928,121.41107,13,3,10,1,2026-04-28 11:53:03,1,2
500231063,YouBike2.0_學府大雅路口,樹林區,學府路298號,24.95041,121.37901,15,6,9,1,2026-04-28 14:03:03,6,0
500231064,YouBike2.0_彭厝市場,樹林區,太平路122號後方,24.97848,121.41828,22,3,19,1,2026-04-28 14:25:03,2,1
500231065,YouBike2.0_福順街,樹林區,福順街27號(對面),24.97913,121.41555,13,3,10,1,2026-04-28 14:19:02,2,1
500231066,YouBike2.0_佳園學成路口,樹林區,佳園路三段260號(前),24.94695,121.38500,22,5,17,1,2026-04-28 14:28:03,4,1
500231067,YouBike2.0_東豐街85巷口,樹林區,東豐街83-1號(前),24.97375,121.41016,12,7,5,1,2026-04-28 09:34:03,6,1
500231068,YouBike2.0_八德中華路口,樹林區,八德街87號(前),24.98144,121.42002,15,13,2,1,2026-04-28 14:14:04,12,1
500231069,YouBike2.0_佳園路三段101巷80弄口,樹林區,佳園路三段101巷80弄1號(旁),24.94984,121.39488,15,8,7,1,2026-04-28 10:13:04,4,4
500231070,YouBike2.0_大成學士路口,樹林區,大成路/學士路(北側),24.94768,121.38196,17,4,13,1,2026-04-28 14:07:04,2,2
500231071,YouBike2.0_學府大成路口,樹林區,學府路/大成路(東側),24.95090,121.38139,14,0,14,1,2026-04-28 14:11:17,0,0
500231072,YouBike2.0_彭厝里(福順街),樹林區,福順街83號(西側),24.97757,121.41641,15,0,15,1,2026-04-28 14:10:21,0,0
500231073,YouBike2.0_佳園大成路口,樹林區,佳園路三段412號(西南側),24.94487,121.38362,14,6,8,1,2026-04-28 13:38:02,5,1
500231075,YouBike2.0_四維八德街口,樹林區,四維路/八德街口,24.98018,121.42107,15,3,12,1,2026-04-28 14:06:03,3,0
500231076,YouBike2.0_鎮前街347巷口,樹林區,鎮前街345號北側,24.98419,121.41638,16,1,15,1,2026-04-28 14:01:18,0,1
500231077,YouBike2.0_臺鐵樹林車站(後站停車場),樹林區,後站街3巷2號(對側),24.99089,121.42384,64,18,46,1,2026-04-28 13:56:04,18,0
500232001,YouBike2.0_牡丹車站,雙溪區,牡丹里牡丹路51號,25.0590226,121.8518644,60,46,14,1,2026-04-28 13:11:03,43,3
500232002,YouBike2.0_雙溪車站,雙溪區,朝陽街1號北側,25.03914,121.86650,55,17,37,1,2026-04-28 14:02:02,8,9
500233001,YouBike2.0_捷運徐匯中學站(1號出口),蘆洲區,中山一路12號(對面),25.080312,121.479941,38,13,25,1,2026-04-28 14:26:03,9,4
500233002,YouBike2.0_溪墘公園,蘆洲區,信義路73巷6號(對面),25.07997,121.47621,43,7,36,1,2026-04-28 14:23:02,3,4
500233003,YouBike2.0_蘆洲中路公園,蘆洲區,正和街72巷16號(對面),25.0818,121.46822,49,1,48,1,2026-04-28 14:28:03,1,0
500233004,YouBike2.0_蘆洲李宅古蹟,蘆洲區,中正路185巷68弄9號(對面人行道),25.08496,121.46655,30,5,25,1,2026-04-28 14:28:03,5,0
500233005,YouBike2.0_永安南路九芎街71巷口,蘆洲區,永安南路二段40-3號(斜對面),25.07756,121.46607,29,3,26,1,2026-04-28 14:25:02,3,0
500233006,YouBike2.0_永安圖書館,蘆洲區,永安南路二段152號(對面),25.07860,121.46223,31,6,25,1,2026-04-28 13:54:03,5,1
