city,record_id,inspection_date,inspection_item,food_category,product_name,vendor_name,district,address,lng,lat,result,violation_detail,sampled_place
臺北市,7012,2023-11-27,年節食品,木耳,白木耳（有效日期20240516）（產地：中國）,興長生蔘藥行,信義區,臺北市信義區吳興街197號,,,不符合規定,生長調節劑Chlormequat 克美素0.32 ppm（標準：不得檢出）,興長生蔘藥行/臺北市信義區吳興街197號
臺北市,7013,2023-11-27,年節食品,香辛植物類,特花椒粒（有效日期：20251005）（產地：中國大陸）,興長生蔘藥行,信義區,臺北市信義區吳興街197號,,,不符合規定,殺蟲劑Acetamiprid亞滅培0.87ppm（標準：0.05ppm以下） 殺蟲劑Carbofuran加保扶0.37ppm（標準：不得檢出） 殺蟲劑Chlorpyrifos陶斯松0.26ppm（標準：0.03ppm以下） 殺蟲劑Clothianidin可尼丁0.06ppm（標準：0.03ppm以下） 殺菌劑Difenoconazole待克利0.10ppm（標準：0.05ppm以下） 殺蟲劑Imidacloprid益達胺0.23ppm（標準：0.05ppm以下） 殺菌劑Pyraclostrobin百克敏0,興長生蔘藥行/臺北市信義區吳興街197號
臺北市,7014,2023-11-27,年節食品,蕈菜類,茶樹菇,東杰商行,士林區,臺北市士林區社中街33巷4號,,,不符合規定,殺蟲劑Chlorpyrifos 陶斯松0.14ppm(標準：0.03ppm以下) 殺蟲劑Fipronil 芬普尼0.068ppm、Fipronil-sulfone芬普尼代謝物0.020ppm(標準：0.002ppm以下),東杰商行/臺北市士林區社中街33巷4號
臺北市,7026,2023-11-09,醃製及脫水蔬果(含蜜餞),酸菜類(屬醃漬蔬菜),酸菜 (2024/10/14),臺北市第二果菜批發市場第18-16攤葉爾旺(蔬菜承銷人2154),中山區,臺北市中山區民族東路336號/v18-16,,,不符合規定,苯甲酸 1.2g/kg(標準：0.6 g/kg以下) 二氧化硫 0.35g/kg(標準：0.030g/kg以下),臺北市第二果菜批發市場第18-16攤葉爾旺(蔬菜承銷人2154)/臺北市中山區民族東路336號/v18-16
臺北市,7027,2023-11-09,醃製及脫水蔬果(含蜜餞),醃漬水果,鳥梨,果鮮一品商行,中山區,臺北市中山區吉林路176號,,,不符合規定,環己基(代)磺醯胺酸鹽 0.90g/kg(標準：不得檢出) 糖精 0.10 g/kg(標準：不得檢出),果鮮一品商行/臺北市中山區吉林路176號
臺北市,7028,2023-11-09,醃製及脫水蔬果(含蜜餞),酸菜類(屬醃漬蔬菜),酸菜,石家割包(源石石家刈包),中山區,臺北市中山區中吉里民生東路2段138號1樓,,,不符合規定,二氧化硫 0.19g/kg(標準：0.030g/kg以下),石家割包(源石石家刈包)/臺北市中山區中吉里民生東路2段138號1樓
臺北市,7042,2023-11-08,醃製及脫水蔬果(含蜜餞),醃漬水果,醃漬鳥梨,哈林水果專賣店,士林區,臺北市士林區士東路100號士東市場80號攤,,,不符合規定,環己基(代)磺醯胺酸鹽1.18g/kg(標準：不得檢出) 糖精0.06g/kg(標準：不得檢出),哈林水果專賣店/臺北市士林區士東路100號士東市場80號攤
臺北市,7043,2023-11-08,醃製及脫水蔬果(含蜜餞),非即食 醃漬蔬菜,漬の菜 (2024/3/10),士東南北雜貨店,士林區,臺北市士林區士東路100號士東市場35號攤,,,不符合規定,二氧化硫0.19g/kg(標準：0.030g/kg以下),士東南北雜貨店/臺北市士林區士東路100號士東市場35號攤
臺北市,7066,2023-11-06,醃製及脫水蔬果(含蜜餞),非即食 醃漬蔬菜,酸菜 (2024/3/10),吟興商行(吟興雜糧行),萬華區,臺北市萬華區桂林路74號1樓,,,不符合規定,檢出二氧化硫0.15g/kg (標準：0.030 g/kg以下),吟興商行(吟興雜糧行)/臺北市萬華區桂林路74號1樓
臺北市,7075,2023-11-03,蔬果,根莖菜類,白蘿蔔,明德素食園,內湖區,臺北市內湖區成功路2段325號B1,,,不符合規定,殺蟎劑Pyridaben畢達本0.01 ppm（標準：不得檢出）,明德素食園/臺北市內湖區成功路2段325號B1
